content,id_SN,date,tags,title,support_line,menu,sector,images_hd,layout,files,created_date,published,releated_posts,section,label,video,video_thumbnail,hat,special-page,target,link
,13,2019-01-15T17:51:47-02:00,[],MST Indica | Comida de Verdade,Documentário debate questão da produção de alimentos.,agricultura camponesa,,,post,[],2019-01-15T17:52:44-02:00,true,[],tv,,https://www.youtube.com/watch?reload=9&v=vgJgd3OvicU&t=762s,http://img.youtube.com/vi/vgJgd3OvicU/0.jpg,,,,
,43,2019-01-30T16:05:08-02:00,[],Carta ao Povo Brasileiro,"O Movimento Sem Terra celebra seus 35 anos de luta pela reforma agrária e por justiça social. Mais uma vez, reafirmamos nosso compromisso de lutar pela democratização da terra, pela produção de alimentos saudáveis, pela soberania popular.",projeto popular,,,post,[],2019-01-30T16:07:15-02:00,true,[],tv,,https://youtu.be/-sR8y1wCpKQ,http://img.youtube.com/vi/-sR8y1wCpKQ/0.jpg,,,,
,82,2019-02-13T11:58:29-02:00,reforma-agrária|assentamento|lutas,ASSENTAMENTO NORMANDIA | Por que o MST existe?,Assista a esse minidoc do MST de Pernambuco e descubra. ,lutas e mobilizações,,,post,[],2019-02-13T12:00:06-02:00,true,_posts/2018/05/2018-05-10-assentamento-oziel-alves-pereira-a-concretizacao-de-um-projeto.md|_posts/2018/10/2018-10-29-fazenda-anonni-33-de-luta-e-resistencia.md|_posts/2019/01/2019-01-07-stedile-a-militancia-nao-pode-ter-medo-algum-porque-estamos-lutando-por-justica.md|_posts/2019/01/2019-01-11-2018-foi-um-ano-que-silenciou-a-reforma-agraria.md|_posts/2018/04/2018-04-25-no-ceara-assentamento-comemora-27-anos-de-luta-pela-terra.md|_posts/2019/02/2019-02-06-o-mst-vai-resistir-ativamente-nao-vamos-pegar-a-sacola-e-ir-para-casa.md|_posts/2019/01/2019-01-30-durante-as-comemoracoes-de-35-anos-o-mst-reiterou-uma-serie-de-posicionamentos-acerca-da-atual-conjuntura.md|_posts/2019/02/2019-02-08-dddddddddddddd.md,tv,,https://www.youtube.com/watch?v=mz-iNxzSKHc,http://img.youtube.com/vi/mz-iNxzSKHc/0.jpg,,,,
,85,2019-02-13T12:00:34-02:00,35-anos|mst|resistência,MST 35 Anos de Luta e Resistência!,"Em 2019, o Movimento dos Trabalhadores Rurais Sem Terra, celebra 35 anos de luta e resistência! Confira um pouco dessa história",lutas e mobilizações,,,post,[],2019-02-13T12:01:30-02:00,true,[],tv,,https://www.youtube.com/watch?v=mz-iNxzSKHc,http://img.youtube.com/vi/mz-iNxzSKHc/0.jpg,,,,
,88,2019-02-13T11:55:17-02:00,sem-terrinha|reforma-agrária|lutas-e-mobilizações,"Sem Terrinha em Movimento: brincar, sorrir, lutar!","Foram quatro dias em que o pensar direitos sociais, educação, Reforma Agrária Popular e alimentação saudável foi feito através de atividades culturais, educativas, brincadeiras e oficinas de arte e cultura","educação, cultura e comunicação",,,post,[],2019-02-13T11:56:43-02:00,true,_posts/2018/05/2018-05-12-carta-ao-povo-brasileiro.md|_posts/2018/07/2018-07-04-sem-terras-vao-a-camara-de-macae-para-pedir-area-do-municipio.md|_posts/2018/08/2018-08-22-acampamento-maria-rosa-do-contestado-realiza-1a-feira-da-semente-crioula-no-parana.md|_posts/2018/10/2018-10-31-se-continuar-agredindo-movimentos-depois-de-empossado-bolsonaro-cometera-crime.md|_posts/2018/11/2018-11-03-familias-produtoras-do-cafe-guaii-sofrem-ameaca-de-despejo.md|_posts/2018/07/2018-07-25-oficinas-animacao-e-comida-saudavel-o-segundo-dia-do-encontro-sem-terrinha.md|_posts/2018/07/2018-07-26-sem-terrinha-afirma-compromisso-na-luta-pelos-direitos-da-crianca.md|_posts/2018/07/2018-07-24-do-nordeste-para-o-cerrado-um-encontro-de-descobertas.md|_posts/2018/07/2018-07-24-queremos-que-todas-as-criancas-possam-ser-felizes-e-livres-afirma-manifesto-das-criancas-sem-terrinha.md|_posts/2018/07/2018-07-25-durante-passeio-cultural-em-brasilia-sem-terrinha-entregam-manifesto-no-mec.md|_posts/2018/07/2018-07-26-arte-e-cultura-para-ler-o-mundo-e-transforma-lo-com-as-maos-das-criancas.md|_posts/2018/07/2018-07-26-diario-sem-terrinha-sim-para-a-gratidao-e-nao-para-a-retirada-de-direitos.md,tv,,https://www.youtube.com/watch?v=pm2cgAEgVA0,http://img.youtube.com/vi/pm2cgAEgVA0/0.jpg,,,,
,112,2019-02-22T15:42:00-03:00,[],Unidade Pedagógica de Agroecologia - Acampamento Edson Nogueira (RJ),"A Câmara de Vereadores de Macaé, município da região\_Norte Fluminense, aprovou este ano a criação de uma “Unidade Pedagógica em Agroecologia” no acampamento Edson Nogueira, organizado pelo\_MST.",agricultura camponesa,,,post,[],2019-02-22T15:43:45-03:00,true,[],tv,,https://youtu.be/HiTJHAECnac,http://img.youtube.com/vi/HiTJHAECnac/0.jpg,Unidade Pedagógica de Agroecologia - Acampamento Edson Nogueira (RJ),,,
,139,2019-03-07T15:25:39-03:00,[],"Pela vida das mulheres, somos todas Marielle! ",Nesta Jornada Nacional de Luta das Mulheres Sem Terra temos duas datas importantes: o Dia Internacional da Mulher e um ano do assassinato de Marielle Franco! ,lutas e mobilizações,culture,,post,[],2019-03-07T15:28:07-03:00,true,[],tv,,https://www.youtube.com/watch?v=vTzP7q6g3sc&list=PLs_FebLgno7buJ_K2uG53vyn8E-fEwBJF&index=3&t=2s,http://img.youtube.com/vi/vTzP7q6g3sc/0.jpg,,,,
,160,2019-03-12T18:04:40-03:00,[],Festa da Colheita do Arroz tá chegando!,Somos o maior produtor de arroz orgânico da América Latina e estamos em festa!,reforma agrária,,,post,[],2019-03-12T18:05:41-03:00,true,[],tv,,https://youtu.be/vnko2iXENdE,http://img.youtube.com/vi/vnko2iXENdE/0.jpg,,,,
,162,2019-03-12T17:27:35-03:00,[],Pela Vida das Mulheres: somos todas Marielle!,Confira como foi o dia Internacional de Luta das Mulheres em São Paulo ,lutas e mobilizações,,,post,[],2019-03-12T17:28:34-03:00,true,[],tv,,https://www.youtube.com/watch?v=dCIMP5fKuKo,http://img.youtube.com/vi/dCIMP5fKuKo/0.jpg,,,,
,175,2019-03-14T17:23:44-03:00,[],Veja o que vai rolar na 16º Festa da Colheita do Arroz Agroecológico no Rio Grande do Sul!,Serão colhidas 26 mil toneladas de arroz sem veneno!,agricultura camponesa,,,post,[],2019-03-14T17:26:06-03:00,true,[],tv,,https://youtu.be/hui2XpgJoyA,http://img.youtube.com/vi/hui2XpgJoyA/0.jpg,,,,
